version,p,d,round,prefill_tps,decode_tps,init_s,ttft_s
014,64,256,1,2418.47,155.48,1.4622,0.0329
015,64,256,1,2632.47,160.45,1.4517,0.0305
014,256,256,1,2269.64,154.96,1.4774,0.1192
015,256,256,1,5472.66,160.69,1.4345,0.0530
014,1024,256,1,8074.95,154.82,1.4773,0.1333
015,1024,256,1,8130.83,159.33,1.5469,0.1322
015,64,256,2,2434.93,161.28,1.5138,0.0325
014,64,256,2,2230.66,156.08,1.4530,0.0351
015,256,256,2,4910.56,156.77,1.5217,0.0585
014,256,256,2,2254.49,156.54,1.4727,0.1199
015,1024,256,2,8211.82,158.92,1.4388,0.1310
014,1024,256,2,8132.86,155.51,1.4558,0.1323
014,64,256,3,2219.83,157.37,1.4640,0.0352
015,64,256,3,2434.35,161.06,1.4284,0.0325
014,256,256,3,2230.78,155.88,1.4851,0.1212
015,256,256,3,5392.66,161.73,1.4542,0.0537
014,1024,256,3,8045.70,153.94,1.4470,0.1338
015,1024,256,3,8153.01,159.01,1.4367,0.1319
015,64,256,4,2366.70,162.14,1.4231,0.0332
014,64,256,4,2342.61,155.65,1.4945,0.0337
015,256,256,4,5631.75,160.52,1.4642,0.0517
014,256,256,4,2259.59,155.97,1.4531,0.1197
015,1024,256,4,8178.83,158.83,1.4318,0.1315
014,1024,256,4,8208.61,154.41,1.4486,0.1312
014,64,256,5,2538.98,156.06,1.4540,0.0316
015,64,256,5,2476.32,161.02,1.4179,0.0321
014,256,256,5,2227.33,155.82,1.4912,0.1214
015,256,256,5,5738.69,161.77,1.4131,0.0508
014,1024,256,5,8184.14,154.94,1.4417,0.1316
015,1024,256,5,8170.06,159.12,1.4477,0.1316
015,64,256,6,2429.28,160.86,1.4791,0.0326
014,64,256,6,2533.55,156.66,1.4451,0.0316
015,256,256,6,5433.45,160.68,1.4462,0.0533
014,256,256,6,2186.26,155.57,1.4545,0.1235
015,1024,256,6,8174.22,159.42,1.4128,0.1315
014,1024,256,6,8101.71,154.26,1.4602,0.1329
014,64,256,7,2568.84,155.40,1.4573,0.0313
015,64,256,7,2399.80,161.39,1.4357,0.0329
014,256,256,7,2261.80,155.62,1.4508,0.1196
015,256,256,7,5400.12,160.61,1.4687,0.0536
014,1024,256,7,7741.86,154.39,1.4547,0.1387
015,1024,256,7,8095.14,159.04,1.4170,0.1328
015,64,256,8,2575.40,161.22,1.4387,0.0311
014,64,256,8,2272.81,156.14,1.4595,0.0346
015,256,256,8,5343.45,160.85,1.4063,0.0541
014,256,256,8,2249.13,155.81,1.4641,0.1202
015,1024,256,8,8044.92,159.29,1.4306,0.1336
014,1024,256,8,8010.45,155.72,1.4356,0.1343
