source,tag,n,correct,acc,max_tokens,runtime_build,backend,bundle,has_correction_note,gen_tokens_median,decode_tps_median
results/quality/fakequant_gsm8k_baseline-fp16.json,baseline-fp16,12,2,0.1667,,,,,False,,
results/quality/fakequant_gsm8k_baseline-fp16_n100.json,baseline-fp16,100,48,0.48,,,,,True,,
results/quality/fakequant_gsm8k_kv-only.json,kv-only,12,0,0.0,,,,,False,,
results/quality/fakequant_gsm8k_linear+kv+pleproj.json,linear+kv+pleproj,12,11,0.9167,,,,,False,,
results/quality/fakequant_gsm8k_linear+kv+pleproj_n100.json,linear+kv+pleproj,100,86,0.86,,,,,True,,
results/quality/fakequant_gsm8k_linear+kv.json,linear+kv,12,10,0.8333,,,,,False,,
results/quality/fakequant_gsm8k_linear+kv_n100.json,linear+kv,100,89,0.89,,,,,True,,
results/quality/fakequant_gsm8k_linear-only.json,linear-only,12,9,0.75,,,,,False,,
results/quality/fakequant_gsm8k_linear-only_n100.json,linear-only,100,88,0.88,,,,,True,,
results/quality/gsm8k_cactus-cq254-probe.json,cactus-cq254-probe,25,4,0.16,1024,,,,False,,
results/quality/gsm8k_cactus-cq326-probe.json,cactus-cq326-probe,25,1,0.04,1024,,,,False,,
results/quality/gsm8k_cactus-cq4-uncal-probe.json,cactus-cq4-uncal-probe,25,21,0.84,1024,,,,False,,
results/quality/gsm8k_cactus-gemma4-e2b-cq4-uncal-thinking.json,cactus-gemma4-e2b-cq4-uncal-thinking,100,87,0.87,2048,,,,False,,
results/quality/gsm8k_cactus-gemma4-e2b-cq4-uncalibrated.json,cactus-gemma4-e2b-cq4-uncalibrated,100,87,0.87,1024,,,,False,,
results/quality/gsm8k_cactus-gemma4-e2b-cq4.json,cactus-gemma4-e2b-cq4,100,3,0.03,1024,,,,False,,
results/quality/gsm8k_coreai-gemma4-e2b-official-wna8o8.json,coreai-gemma4-e2b-official-wna8o8,100,48,0.48,1024,,,,False,,
results/quality/gsm8k_coreai-gemma4-e2b-q40-engine020.json,coreai-gemma4-e2b-q40-engine020,100,88,0.88,1024,,,,False,,
results/quality/gsm8k_coreai-gemma4-e2b-q40-thinking.json,coreai-gemma4-e2b-q40-thinking,100,92,0.92,2048,,,,False,,
results/quality/gsm8k_litert-gemma4-e2b-maincpu-off.json,litert-gemma4-e2b-maincpu-off,100,87,0.87,2048,litert-lm main d98e1872 + thinking-flag CLI patch,cpu,,True,375.5,
results/quality/gsm8k_litert-gemma4-e2b-maincpu-thinking.json,litert-gemma4-e2b-maincpu-thinking,100,90,0.9,2048,litert-lm main d98e1872 + thinking-flag CLI patch,cpu,,True,824.5,
results/quality/gsm8k_litert-gemma4-e2b-pip015gpu-off.json,litert-gemma4-e2b-pip015gpu-off,100,89,0.89,2048,"litert-lm-api 0.15.0 (PyPI wheel macosx_12_0_arm64, uploaded 2026-08-03)",gpu,litert-community/gemma-4-E2B-it-litert-lm @ 9262660,True,362.0,155.46368752125957
results/quality/gsm8k_litert-gemma4-e2b-pip015gpu-thinking.json,litert-gemma4-e2b-pip015gpu-thinking,100,92,0.92,2048,"litert-lm-api 0.15.0 (PyPI wheel macosx_12_0_arm64, uploaded 2026-08-03)",gpu,litert-community/gemma-4-E2B-it-litert-lm @ 9262660,True,812.5,123.22415771474496
results/quality/gsm8k_litert-gemma4-e2b-v0150-ctx4096-off.json,litert-gemma4-e2b-v0150-ctx4096-off,100,89,0.89,4096,,,,False,,
results/quality/gsm8k_litert-gemma4-e2b-v0150-ctx4096-thinking.json,litert-gemma4-e2b-v0150-ctx4096-thinking,100,92,0.92,4096,,,,False,,
results/quality/gsm8k_litert-gemma4-e2b-v0150-off.json,litert-gemma4-e2b-v0150-off,100,88,0.88,2048,,,,False,,
results/quality/gsm8k_litert-gemma4-e2b-v0150-thinking.json,litert-gemma4-e2b-v0150-thinking,100,88,0.88,2048,,,,False,,
results/quality/gsm8k_litertlm-gemma4-e2b-wna8o8-measured.json,litertlm-gemma4-e2b-wna8o8-measured,100,86,0.86,2048,,,,True,,
results/quality/gsm8k_llamacpp-gemma4-e2b-q4km.json,llamacpp-gemma4-e2b-q4km,100,76,0.76,1024,,,,False,,
results/quality/gsm8k_mlx-gemma4-e2b-optiq4-thinking.json,mlx-gemma4-e2b-optiq4-thinking,100,90,0.9,2048,,,,False,,
results/quality/gsm8k_mlx-gemma4-e2b-ptq4.json,mlx-gemma4-e2b-ptq4,100,84,0.84,1024,,,,False,,
results/quality/gsm8k_mlx-gemma4-e2b-qat-optiq4.json,mlx-gemma4-e2b-qat-optiq4,100,91,0.91,1024,,,,False,,
